anomes,MES,mm,ANO,Material de Consumo-Combustíveis e Lubrificantes,Energia Elétrica e Água-Serviços de Água e Esgoto,Serviços de Comunicação em Geral e Telecomunicações-Serviços de Comunicação em Geral,Outros Serviços-Serviços de Cópias e Reproduções de Documentos,Energia Elétrica e Água-Serviços de Energia Elétrica,Serviços de Apoio-Serviços de Limpeza e Conservação,Tecnologia da Informação e Comunicação-Tecnologia da Informação e Comunicação,Serviços de Comunicação em Geral e Telecomunicações-Serviços de Telecomunicações,Serviços de Apoio-Vigilância Ostensiva,Outros Serviços-Serviços de Consultoria,"Serviços de Apoio-Apoio Administrativo, Técnico e Operacional",Serviços de Apoio-Contratação Temporária,Material de Consumo-Material de Consumo,Diárias e Passagens-Diárias,Diárias e Passagens-Passagens e Despesas com Locomoção,Locação e Conservação de Bens Imóveis-Locação de Imóveis,Locação e Conservação de Bens Móveis-Locação de Máquinas e Equipamentos,Locação e Conservação de Bens Imóveis-Manutenção e Conservação de Bens Imóveis,Locação e Conservação de Bens Móveis-Manutenção e Conservação de Equipamentos,Serviços de Apoio-Locações de Mão-de-Obra e Terceirização,Outros Serviços-Serviços bancários
11.1,jan,1,11,22.90,11.20,6.70,1.00,42.10,18.80,8.50,17.70,30.40,1.70,150.50,38.90,13.70,55.30,9.80,21.90,1.60,19.40,5.50,5.50,2.40
11.2,fev,2,11,36.50,38.30,45.40,7.70,164.70,141.60,217.70,60.20,159.20,4.70,634.00,84.10,71.30,160.00,60.10,97.30,18.50,81.60,34.80,31.20,42.80
11.3,mar,3,11,123.40,81.00,103.20,21.60,346.00,334.50,569.50,135.60,357.10,16.40,1319.10,147.20,181.30,266.20,144.40,197.90,47.30,182.70,100.30,85.70,127.50
11.4,abr,4,11,191.70,128.90,156.00,38.60,534.40,513.00,1104.40,204.40,539.30,31.60,1966.80,206.50,381.00,361.70,223.00,290.70,75.40,293.70,187.00,163.40,211.00
11.5,mai,5,11,258.40,172.80,218.50,54.50,726.80,717.40,1652.40,287.90,746.00,55.40,2743.60,274.70,635.20,493.40,318.70,404.50,107.40,431.40,294.50,219.10,313.60
11.6,jun,6,11,336.70,214.10,306.50,77.40,912.40,906.80,2144.40,358.10,938.60,76.00,3539.50,338.60,935.10,611.00,423.60,522.70,139.90,587.20,411.20,289.10,400.50
11.7,jul,7,11,431.50,262.00,398.80,93.50,1086.00,1112.50,2709.30,441.20,1139.10,101.10,4436.10,386.00,1238.60,743.30,551.20,624.10,179.50,775.70,530.50,337.30,488.40
11.8,ago,8,11,530.70,318.00,490.00,109.70,1262.20,1320.90,3180.10,534.90,1342.90,126.90,5366.70,447.30,1564.50,898.30,668.40,720.50,214.00,958.90,651.50,417.90,561.20
11.9,set,9,11,611.50,363.40,605.60,128.40,1430.80,1527.50,3686.50,620.50,1539.00,159.50,6359.70,510.00,1917.70,1078.30,795.50,849.30,244.20,1140.10,782.20,495.50,617.80
11.10,out,10,11,732.90,415.10,770.90,145.40,1614.10,1724.90,4240.10,707.40,1746.40,189.90,7477.10,568.60,2232.90,1236.00,927.10,947.90,277.70,1301.40,944.50,574.30,668.40
11.11,nov,11,11,838.00,466.00,942.70,162.40,1822.90,1942.70,4865.30,794.20,1957.00,220.60,8685.60,634.70,2622.10,1449.00,1078.40,1061.60,315.70,1525.10,1118.70,637.00,856.10
11.12,dez,12,11,1355.00,663.30,1661.20,239.80,2298.20,2539.70,7291.20,1181.50,2523.40,507.60,13904.00,728.60,5171.70,1651.50,1517.70,1334.10,422.20,3363.90,2145.20,857.30,1609.60
12.1,jan,1,12,32.40,12.30,2.00,1.00,35.90,22.20,7.70,12.10,29.80,0.90,190.00,55.60,45.70,54.10,13.90,24.80,1.20,20.80,6.60,7.60,6.20
12.2,fev,2,12,58.70,45.30,32.60,7.10,158.00,143.80,158.90,54.90,175.40,6.30,684.60,96.60,114.80,154.70,63.90,124.40,16.90,82.80,32.50,51.50,7.50
12.3,mar,3,12,162.20,91.60,77.00,20.70,341.80,341.20,602.70,117.70,380.40,23.30,1425.60,151.30,276.90,301.90,158.00,259.30,41.10,190.30,99.90,123.80,134.70
12.4,abr,4,12,231.20,138.10,151.40,34.00,523.50,533.60,1067.40,177.70,579.60,37.60,2121.10,212.80,466.80,457.50,263.90,367.10,66.00,308.70,190.30,190.10,210.50
12.5,mai,5,12,290.80,186.10,237.70,50.50,725.30,755.90,1545.30,267.60,800.10,59.80,2979.30,283.80,741.60,655.90,393.20,503.20,126.70,463.20,320.60,278.50,256.90
12.6,jun,6,12,468.90,231.60,306.90,64.00,902.80,966.90,2056.60,326.80,1010.60,87.90,3821.00,352.00,994.60,849.60,519.00,620.30,197.70,619.40,440.20,352.70,309.40
12.7,jul,7,12,622.30,281.60,379.30,80.50,1087.60,1205.70,2633.20,400.90,1242.00,119.60,4831.40,413.30,1339.40,1031.50,663.80,751.70,256.00,798.80,584.30,433.70,367.90
12.8,ago,8,12,749.40,342.20,468.50,96.50,1259.70,1444.00,3207.70,485.40,1487.40,150.20,5864.60,485.30,1717.20,1210.00,813.60,869.90,316.00,993.60,733.60,514.20,490.00
12.9,set,9,12,866.40,389.90,579.60,111.70,1431.30,1668.50,3688.00,571.00,1712.40,184.80,6762.90,544.90,2016.90,1364.00,939.90,984.40,343.60,1172.20,870.20,597.40,534.90
12.10,out,10,12,994.20,446.20,738.00,129.10,1618.30,1908.40,4214.70,646.40,1964.50,232.70,7967.10,605.60,2360.40,1566.90,1076.50,1110.90,382.80,1378.50,999.90,675.00,598.80
12.11,nov,11,12,1084.30,497.80,862.00,145.70,1825.80,2160.10,4749.60,751.10,2214.60,265.80,9381.40,676.70,2745.30,1782.70,1235.00,1232.00,420.30,1622.80,1183.70,766.20,676.50
12.12,dez,12,12,1630.50,720.90,1791.60,228.80,2330.90,2805.70,7542.30,1069.40,2784.30,672.30,15766.80,765.20,4823.40,1960.30,1712.10,1512.90,527.20,3382.70,2254.40,1012.00,1932.00
13.1,jan,1,13,44.20,9.90,3.10,0.50,44.40,26.50,10.10,12.20,34.50,1.00,142.20,30.80,15.90,60.40,10.70,14.40,2.00,17.70,9.20,7.50,3.70
13.2,fev,2,13,90.60,41.90,41.40,5.80,167.60,157.10,169.90,40.70,193.80,4.50,586.50,48.20,88.60,156.30,61.80,111.40,13.80,80.90,44.60,76.70,16.60
13.3,mar,3,13,178.30,83.50,89.20,15.60,327.60,357.50,573.80,88.20,409.70,19.80,1287.40,68.00,262.10,292.60,157.70,240.70,36.30,189.20,119.10,157.40,67.00
13.4,abr,4,13,265.10,135.10,173.60,29.10,493.80,588.10,1163.00,155.80,670.20,36.50,2169.20,87.00,478.40,466.10,294.40,407.60,58.80,325.70,265.80,249.00,167.90
13.5,mai,5,13,430.60,192.20,263.10,41.40,653.20,824.90,1755.30,213.00,922.00,68.20,3080.40,111.20,713.30,658.30,440.00,546.50,84.00,485.20,396.20,332.10,237.50
13.6,jun,6,13,511.70,237.00,358.00,55.40,801.90,1060.20,2237.20,285.20,1161.30,104.00,3992.20,153.60,998.10,865.30,598.90,680.00,113.70,641.10,514.10,417.50,300.40
13.7,jul,7,13,665.40,290.50,439.60,71.30,953.80,1317.60,2906.00,351.20,1437.10,138.80,5139.80,190.90,1334.50,1082.90,779.00,827.10,142.10,813.40,656.50,511.10,393.80
13.8,ago,8,13,760.90,347.20,616.30,90.10,1099.90,1584.10,3376.60,486.80,1702.60,171.80,6201.90,224.70,1633.20,1269.70,964.80,966.50,176.90,1008.70,817.80,622.50,452.30
13.9,set,9,13,878.00,395.10,765.20,106.60,1249.50,1846.30,3886.60,544.40,1965.80,207.70,7248.40,260.40,1956.80,1439.00,1145.10,1081.90,208.60,1200.20,974.20,705.70,517.10
13.10,out,10,13,1003.10,447.00,918.90,125.20,1393.00,2112.00,4475.30,610.00,2240.30,262.70,8544.00,294.20,2346.50,1623.80,1321.50,1228.50,238.50,1400.60,1247.40,775.00,703.40
13.11,nov,11,13,1096.00,493.50,1037.90,143.20,1563.00,2375.60,4959.60,627.10,2539.50,294.90,9970.00,341.20,2725.90,1810.40,1512.60,1369.00,270.10,1639.10,1417.70,856.20,735.60
13.12,dez,12,13,1528.60,730.90,2037.20,214.60,1969.00,3118.10,7418.50,975.90,3231.10,638.70,16135.80,414.10,4851.50,1986.30,2072.40,1704.40,412.50,3027.70,2589.30,1103.20,1839.60
14.1,jan,1,14,1.90,12.00,2.40,1.40,35.30,31.30,11.30,6.90,46.60,3.20,205.50,30.70,26.90,48.70,13.10,30.30,1.80,18.20,8.00,7.80,1.00
14.2,fev,2,14,57.30,48.70,40.40,8.10,159.70,188.60,271.20,35.00,243.90,12.80,734.80,58.30,96.40,157.80,88.10,138.80,13.10,95.00,50.60,96.50,8.60
14.3,mar,3,14,133.00,93.20,108.80,19.60,305.50,394.70,646.00,77.90,495.80,35.90,1581.30,83.80,253.80,299.40,214.00,285.20,33.50,212.60,155.40,157.70,13.30
14.4,abr,4,14,205.40,139.70,174.60,32.60,465.70,628.10,1185.40,127.20,763.80,59.10,2565.70,110.70,428.40,449.90,361.60,422.90,54.20,349.50,254.60,243.50,33.70
14.5,mai,5,14,310.70,196.90,266.70,48.70,631.20,905.40,1741.60,186.90,1056.30,93.50,3616.90,139.60,714.00,711.20,546.20,566.90,86.30,512.70,351.80,339.10,41.60
14.6,jun,6,14,455.90,245.50,351.10,62.20,782.50,1128.80,2248.40,233.50,1317.40,123.00,4543.70,171.80,979.40,895.70,700.40,696.20,110.30,664.10,479.60,423.50,47.90
